District Name,Neighborhood Name,Weekday,Year,Month,Day,Victims
Eixample,l'Antiga Esquerra de l'Eixample,Wednesday,2018,12,5,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,12,25,1
Eixample,l'Antiga Esquerra de l'Eixample,Friday,2018,6,29,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,11,15,2
Les Corts,Pedralbes,Monday,2018,1,29,2
Les Corts,Pedralbes,Wednesday,2018,3,7,1
Les Corts,les Corts,Monday,2018,2,26,1
Les Corts,les Corts,Friday,2018,2,23,1
Les Corts,Pedralbes,Friday,2018,4,13,1
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,4,9,1
Les Corts,les Corts,Thursday,2018,4,12,1
Eixample,l'Antiga Esquerra de l'Eixample,Friday,2018,9,7,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,10,4,1
Les Corts,les Corts,Saturday,2018,7,7,0
Les Corts,Pedralbes,Saturday,2018,12,22,1
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Saturday,2018,8,4,2
Eixample,la Dreta de l'Eixample,Monday,2018,10,1,2
Eixample,la Dreta de l'Eixample,Wednesday,2018,9,12,1
Eixample,la Dreta de l'Eixample,Thursday,2018,2,8,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,4,18,1
Eixample,la Dreta de l'Eixample,Sunday,2018,10,28,2
Eixample,la Dreta de l'Eixample,Saturday,2018,8,18,2
Eixample,la Dreta de l'Eixample,Tuesday,2018,2,6,0
Eixample,la Dreta de l'Eixample,Thursday,2018,5,3,1
Eixample,la Dreta de l'Eixample,Monday,2018,1,29,2
Eixample,la Dreta de l'Eixample,Wednesday,2018,3,21,1
Eixample,la Dreta de l'Eixample,Friday,2018,3,16,1
Eixample,la Dreta de l'Eixample,Monday,2018,9,3,0
Eixample,la Dreta de l'Eixample,Friday,2018,2,16,2
Eixample,la Dreta de l'Eixample,Sunday,2018,4,8,1
Eixample,la Dreta de l'Eixample,Monday,2018,6,18,1
Les Corts,les Corts,Thursday,2018,11,8,1
Les Corts,les Corts,Friday,2018,5,18,1
Les Corts,les Corts,Thursday,2018,3,8,1
Les Corts,les Corts,Wednesday,2018,8,1,3
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,12,3,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,10,9,1
Eixample,l'Antiga Esquerra de l'Eixample,Saturday,2018,3,10,2
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,4,26,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,2,1,2
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Monday,2018,1,15,2
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Friday,2018,4,20,2
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Tuesday,2018,10,23,2
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Tuesday,2018,10,30,1
Eixample,la Dreta de l'Eixample,Thursday,2018,4,5,1
Les Corts,Pedralbes,Monday,2018,1,8,1
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Saturday,2018,9,22,1
Les Corts,les Corts,Saturday,2018,10,27,0
Les Corts,les Corts,Monday,2018,10,15,0
Les Corts,les Corts,Saturday,2018,10,6,1
Les Corts,les Corts,Saturday,2018,12,1,1
Les Corts,les Corts,Saturday,2018,8,11,1
Les Corts,les Corts,Saturday,2018,2,10,4
Les Corts,les Corts,Wednesday,2018,2,28,1
Les Corts,les Corts,Friday,2018,8,17,1
Les Corts,les Corts,Wednesday,2018,1,10,2
Les Corts,les Corts,Friday,2018,3,2,1
Les Corts,les Corts,Monday,2018,5,14,1
Les Corts,les Corts,Monday,2018,7,30,1
Les Corts,les Corts,Tuesday,2018,5,22,1
Les Corts,les Corts,Tuesday,2018,6,12,1
Les Corts,les Corts,Friday,2018,4,13,1
Les Corts,les Corts,Wednesday,2018,2,28,2
Les Corts,les Corts,Friday,2018,7,27,1
Les Corts,les Corts,Saturday,2018,4,7,1
Les Corts,les Corts,Tuesday,2018,9,25,1
Les Corts,les Corts,Wednesday,2018,9,12,1
Les Corts,les Corts,Wednesday,2018,10,31,2
Sant Martí,la Vila Olímpica del Poblenou,Wednesday,2018,12,12,1
Sant Martí,la Vila Olímpica del Poblenou,Friday,2018,6,15,2
Sant Martí,la Vila Olímpica del Poblenou,Wednesday,2018,10,3,1
Eixample,la Nova Esquerra de l'Eixample,Friday,2018,12,14,1
Eixample,la Nova Esquerra de l'Eixample,Friday,2018,8,3,1
Eixample,la Nova Esquerra de l'Eixample,Thursday,2018,4,26,2
Eixample,la Dreta de l'Eixample,Friday,2018,7,6,1
Les Corts,Pedralbes,Friday,2018,3,2,2
Les Corts,Pedralbes,Thursday,2018,4,5,1
Les Corts,Pedralbes,Sunday,2018,2,25,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,5,17,1
Les Corts,les Corts,Monday,2018,11,12,2
Les Corts,les Corts,Friday,2018,5,18,1
Les Corts,les Corts,Tuesday,2018,1,23,1
Les Corts,les Corts,Sunday,2018,11,11,1
Les Corts,les Corts,Thursday,2018,3,15,1
Les Corts,les Corts,Saturday,2018,2,24,1
Sant Martí,la Vila Olímpica del Poblenou,Saturday,2018,6,2,1
Sant Martí,la Vila Olímpica del Poblenou,Wednesday,2018,5,30,1
Eixample,l'Antiga Esquerra de l'Eixample,Friday,2018,2,16,1
Eixample,la Dreta de l'Eixample,Monday,2018,12,10,1
Eixample,la Dreta de l'Eixample,Saturday,2018,8,25,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,2,6,0
Eixample,la Dreta de l'Eixample,Thursday,2018,9,27,1
Les Corts,les Corts,Thursday,2018,5,24,1
Eixample,la Dreta de l'Eixample,Thursday,2018,3,15,2
Eixample,la Dreta de l'Eixample,Tuesday,2018,4,24,1
Eixample,la Dreta de l'Eixample,Saturday,2018,3,24,6
Eixample,la Dreta de l'Eixample,Sunday,2018,9,23,2
Eixample,la Dreta de l'Eixample,Friday,2018,10,12,1
Eixample,la Dreta de l'Eixample,Monday,2018,1,22,1
Eixample,la Dreta de l'Eixample,Friday,2018,7,27,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,3,14,1
Eixample,l'Antiga Esquerra de l'Eixample,Wednesday,2018,12,5,1
Sant Martí,la Vila Olímpica del Poblenou,Monday,2018,8,6,1
Les Corts,Pedralbes,Wednesday,2018,10,3,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,8,29,1
Eixample,la Dreta de l'Eixample,Friday,2018,11,2,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,1,30,1
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,12,17,1
Eixample,l'Antiga Esquerra de l'Eixample,Sunday,2018,4,1,3
Eixample,l'Antiga Esquerra de l'Eixample,Wednesday,2018,11,21,4
Les Corts,les Corts,Tuesday,2018,6,26,1
Sant Martí,la Vila Olímpica del Poblenou,Thursday,2018,7,12,1
Sant Martí,la Vila Olímpica del Poblenou,Thursday,2018,12,20,1
Sant Martí,la Vila Olímpica del Poblenou,Tuesday,2018,6,5,1
Sant Martí,la Vila Olímpica del Poblenou,Saturday,2018,12,15,2
Eixample,la Dreta de l'Eixample,Friday,2018,9,28,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,8,21,0
Eixample,la Dreta de l'Eixample,Monday,2018,4,23,1
Eixample,la Nova Esquerra de l'Eixample,Monday,2018,10,8,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,6,12,2
Eixample,la Dreta de l'Eixample,Monday,2018,10,22,1
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,12,24,2
Eixample,l'Antiga Esquerra de l'Eixample,Wednesday,2018,4,11,1
Eixample,la Dreta de l'Eixample,Saturday,2018,4,28,3
Eixample,la Dreta de l'Eixample,Saturday,2018,4,28,1
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,4,16,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,1,4,1
Sant Martí,la Vila Olímpica del Poblenou,Sunday,2018,3,18,1
Sant Martí,la Vila Olímpica del Poblenou,Tuesday,2018,6,19,1
Sant Martí,la Vila Olímpica del Poblenou,Thursday,2018,1,11,2
Sant Martí,la Vila Olímpica del Poblenou,Sunday,2018,5,13,2
Sant Martí,la Vila Olímpica del Poblenou,Friday,2018,2,16,1
Les Corts,Pedralbes,Sunday,2018,5,20,1
Eixample,la Dreta de l'Eixample,Thursday,2018,2,1,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,7,4,1
Eixample,l'Antiga Esquerra de l'Eixample,Saturday,2018,5,19,1
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,11,26,1
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,12,3,2
Eixample,l'Antiga Esquerra de l'Eixample,Saturday,2018,12,29,2
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,6,19,4
Eixample,la Dreta de l'Eixample,Tuesday,2018,5,1,2
Eixample,la Dreta de l'Eixample,Saturday,2018,9,22,1
Eixample,l'Antiga Esquerra de l'Eixample,Friday,2018,2,9,1
Eixample,la Dreta de l'Eixample,Friday,2018,7,20,1
Eixample,la Nova Esquerra de l'Eixample,Saturday,2018,11,3,1
Eixample,la Nova Esquerra de l'Eixample,Friday,2018,1,12,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,1,11,1
Eixample,la Nova Esquerra de l'Eixample,Thursday,2018,10,18,1
Eixample,la Nova Esquerra de l'Eixample,Wednesday,2018,10,31,1
Eixample,la Nova Esquerra de l'Eixample,Thursday,2018,4,5,1
Eixample,la Nova Esquerra de l'Eixample,Wednesday,2018,12,19,2
Eixample,la Dreta de l'Eixample,Sunday,2018,10,7,0
Eixample,la Dreta de l'Eixample,Sunday,2018,4,1,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,2,1,1
Eixample,la Dreta de l'Eixample,Monday,2018,3,5,1
Les Corts,Pedralbes,Monday,2018,10,22,1
Les Corts,Pedralbes,Sunday,2018,2,11,1
Les Corts,Pedralbes,Friday,2018,9,14,0
Eixample,la Nova Esquerra de l'Eixample,Monday,2018,6,25,1
Eixample,l'Antiga Esquerra de l'Eixample,Saturday,2018,10,20,1
Les Corts,Pedralbes,Friday,2018,3,2,1
Eixample,l'Antiga Esquerra de l'Eixample,Wednesday,2018,3,28,2
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,11,8,1
Eixample,la Dreta de l'Eixample,Saturday,2018,8,4,3
Eixample,la Dreta de l'Eixample,Thursday,2018,7,26,1
Eixample,la Dreta de l'Eixample,Thursday,2018,2,1,1
Eixample,la Nova Esquerra de l'Eixample,Thursday,2018,2,8,1
Eixample,la Dreta de l'Eixample,Monday,2018,4,23,1
Eixample,la Dreta de l'Eixample,Thursday,2018,3,29,2
Eixample,la Dreta de l'Eixample,Thursday,2018,8,9,1
Eixample,la Dreta de l'Eixample,Saturday,2018,5,5,0
Eixample,la Dreta de l'Eixample,Monday,2018,1,15,1
Eixample,la Dreta de l'Eixample,Thursday,2018,5,17,1
Les Corts,les Corts,Friday,2018,5,25,2
Eixample,l'Antiga Esquerra de l'Eixample,Sunday,2018,1,14,1
Eixample,la Dreta de l'Eixample,Monday,2018,7,2,2
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,1,16,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,2,13,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,5,30,1
Sant Martí,la Vila Olímpica del Poblenou,Sunday,2018,5,13,4
Eixample,la Dreta de l'Eixample,Monday,2018,2,5,1
Eixample,la Dreta de l'Eixample,Friday,2018,3,16,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,7,4,1
Eixample,la Dreta de l'Eixample,Saturday,2018,7,7,1
Sant Martí,la Vila Olímpica del Poblenou,Monday,2018,6,25,1
Les Corts,les Corts,Wednesday,2018,2,21,0
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Sunday,2018,4,29,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,6,19,1
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,9,17,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,5,22,1
Eixample,l'Antiga Esquerra de l'Eixample,Sunday,2018,11,25,2
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,7,24,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,8,7,0
Eixample,la Dreta de l'Eixample,Tuesday,2018,4,3,1
Eixample,la Dreta de l'Eixample,Monday,2018,5,7,1
Eixample,la Dreta de l'Eixample,Friday,2018,5,11,1
Eixample,la Dreta de l'Eixample,Sunday,2018,6,17,1
Eixample,la Dreta de l'Eixample,Thursday,2018,1,18,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,9,26,1
Eixample,la Dreta de l'Eixample,Saturday,2018,11,3,2
Eixample,la Dreta de l'Eixample,Tuesday,2018,3,6,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,11,20,1
Eixample,la Dreta de l'Eixample,Saturday,2018,2,10,1
Eixample,la Dreta de l'Eixample,Monday,2018,3,19,2
Eixample,la Dreta de l'Eixample,Saturday,2018,3,24,2
Les Corts,Pedralbes,Tuesday,2018,4,17,1
Les Corts,Pedralbes,Friday,2018,10,19,1
Les Corts,les Corts,Monday,2018,4,9,1
Les Corts,les Corts,Monday,2018,9,17,2
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,9,6,1
Eixample,l'Antiga Esquerra de l'Eixample,Saturday,2018,10,20,1
Les Corts,Pedralbes,Saturday,2018,7,7,5
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,10,18,1
Sant Martí,la Vila Olímpica del Poblenou,Tuesday,2018,7,17,0
Eixample,la Nova Esquerra de l'Eixample,Friday,2018,3,2,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,11,28,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,9,18,1
Sant Martí,la Vila Olímpica del Poblenou,Friday,2018,2,23,1
Les Corts,les Corts,Friday,2018,6,22,1
Eixample,la Dreta de l'Eixample,Thursday,2018,12,27,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,6,6,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,3,27,1
Eixample,la Nova Esquerra de l'Eixample,Monday,2018,11,19,2
Eixample,la Nova Esquerra de l'Eixample,Sunday,2018,6,24,1
Eixample,la Nova Esquerra de l'Eixample,Monday,2018,9,17,2
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Friday,2018,7,13,1
Les Corts,les Corts,Wednesday,2018,11,14,1
Les Corts,les Corts,Thursday,2018,4,5,1
Les Corts,les Corts,Saturday,2018,4,21,1
Eixample,la Dreta de l'Eixample,Thursday,2018,11,22,1
Eixample,la Dreta de l'Eixample,Saturday,2018,5,12,2
Eixample,la Dreta de l'Eixample,Saturday,2018,7,28,2
Les Corts,Pedralbes,Friday,2018,4,13,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,7,10,2
Eixample,la Dreta de l'Eixample,Thursday,2018,10,25,1
Eixample,la Dreta de l'Eixample,Tuesday,2018,2,13,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,10,18,2
Eixample,la Dreta de l'Eixample,Monday,2018,7,9,2
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,1,15,2
Les Corts,Pedralbes,Thursday,2018,7,5,1
Eixample,la Dreta de l'Eixample,Saturday,2018,9,29,1
Eixample,la Dreta de l'Eixample,Monday,2018,4,30,1
Eixample,la Dreta de l'Eixample,Friday,2018,3,30,1
Eixample,la Dreta de l'Eixample,Friday,2018,3,16,1
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Friday,2018,8,17,2
Eixample,l'Antiga Esquerra de l'Eixample,Friday,2018,4,13,1
Eixample,l'Antiga Esquerra de l'Eixample,Sunday,2018,8,26,1
Eixample,l'Antiga Esquerra de l'Eixample,Sunday,2018,2,25,1
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,7,9,1
Les Corts,Pedralbes,Tuesday,2018,4,3,1
Les Corts,Pedralbes,Thursday,2018,7,5,1
Eixample,la Dreta de l'Eixample,Thursday,2018,1,18,2
Eixample,la Dreta de l'Eixample,Friday,2018,7,27,0
Eixample,la Dreta de l'Eixample,Thursday,2018,6,14,1
Eixample,la Dreta de l'Eixample,Thursday,2018,1,18,1
Eixample,l'Antiga Esquerra de l'Eixample,Saturday,2018,3,3,0
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,4,17,1
Les Corts,Pedralbes,Thursday,2018,1,18,2
Eixample,l'Antiga Esquerra de l'Eixample,Wednesday,2018,4,11,1
Eixample,la Dreta de l'Eixample,Thursday,2018,11,29,1
Eixample,la Dreta de l'Eixample,Thursday,2018,1,18,1
Eixample,la Dreta de l'Eixample,Saturday,2018,11,17,1
Eixample,la Dreta de l'Eixample,Saturday,2018,6,30,2
Eixample,la Dreta de l'Eixample,Monday,2018,7,9,1
Eixample,la Dreta de l'Eixample,Friday,2018,11,23,1
Eixample,la Dreta de l'Eixample,Monday,2018,6,4,1
Eixample,la Dreta de l'Eixample,Monday,2018,6,11,1
Eixample,la Nova Esquerra de l'Eixample,Saturday,2018,3,31,6
Les Corts,Pedralbes,Saturday,2018,3,3,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,8,9,2
Eixample,l'Antiga Esquerra de l'Eixample,Monday,2018,11,12,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,8,7,1
Sant Martí,la Vila Olímpica del Poblenou,Friday,2018,8,17,1
Sant Martí,la Vila Olímpica del Poblenou,Monday,2018,7,9,2
Sant Martí,la Vila Olímpica del Poblenou,Tuesday,2018,6,12,1
Eixample,l'Antiga Esquerra de l'Eixample,Sunday,2018,3,18,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,3,8,1
Eixample,la Dreta de l'Eixample,Saturday,2018,2,3,2
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,5,3,2
Eixample,la Dreta de l'Eixample,Thursday,2018,10,25,1
Eixample,la Dreta de l'Eixample,Monday,2018,12,24,1
Eixample,la Dreta de l'Eixample,Monday,2018,7,2,1
Les Corts,les Corts,Thursday,2018,9,6,2
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,7,24,1
Eixample,la Dreta de l'Eixample,Sunday,2018,9,9,1
Les Corts,les Corts,Thursday,2018,4,12,1
Eixample,la Dreta de l'Eixample,Saturday,2018,7,14,1
Eixample,la Nova Esquerra de l'Eixample,Saturday,2018,1,6,4
Eixample,la Nova Esquerra de l'Eixample,Wednesday,2018,3,14,1
Eixample,la Nova Esquerra de l'Eixample,Wednesday,2018,7,18,1
Eixample,la Nova Esquerra de l'Eixample,Friday,2018,7,27,1
Eixample,la Nova Esquerra de l'Eixample,Tuesday,2018,6,19,1
Eixample,la Nova Esquerra de l'Eixample,Tuesday,2018,10,23,1
Les Corts,les Corts,Tuesday,2018,3,20,1
Les Corts,les Corts,Sunday,2018,3,4,1
Les Corts,les Corts,Thursday,2018,11,1,1
Les Corts,les Corts,Wednesday,2018,7,11,1
Les Corts,les Corts,Monday,2018,9,10,1
Les Corts,les Corts,Friday,2018,5,4,1
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,9,27,1
Les Corts,les Corts,Tuesday,2018,1,9,1
Les Corts,les Corts,Saturday,2018,12,1,2
Sant Martí,la Vila Olímpica del Poblenou,Friday,2018,1,26,2
Sant Martí,la Vila Olímpica del Poblenou,Wednesday,2018,7,25,1
Eixample,la Nova Esquerra de l'Eixample,Friday,2018,4,27,1
Eixample,la Nova Esquerra de l'Eixample,Monday,2018,5,28,1
Eixample,la Nova Esquerra de l'Eixample,Tuesday,2018,12,11,2
Eixample,l'Antiga Esquerra de l'Eixample,Thursday,2018,1,25,1
Les Corts,Pedralbes,Tuesday,2018,2,20,1
Les Corts,Pedralbes,Wednesday,2018,10,17,1
Eixample,l'Antiga Esquerra de l'Eixample,Wednesday,2018,6,27,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,1,2,1
Eixample,l'Antiga Esquerra de l'Eixample,Wednesday,2018,8,1,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,1,9,1
Eixample,l'Antiga Esquerra de l'Eixample,Tuesday,2018,3,13,1
Eixample,la Dreta de l'Eixample,Monday,2018,4,30,2
Les Corts,les Corts,Tuesday,2018,12,11,1
Les Corts,les Corts,Tuesday,2018,11,6,1
Les Corts,les Corts,Saturday,2018,8,11,3
Les Corts,les Corts,Saturday,2018,4,7,3
Les Corts,les Corts,Friday,2018,8,3,1
Les Corts,les Corts,Saturday,2018,6,2,1
Eixample,la Dreta de l'Eixample,Wednesday,2018,3,7,1
Sant Martí,la Vila Olímpica del Poblenou,Monday,2018,3,5,3
Les Corts,Pedralbes,Saturday,2018,5,5,1
Eixample,la Dreta de l'Eixample,Monday,2018,7,16,1
Eixample,la Dreta de l'Eixample,Saturday,2018,2,17,1
Les Corts,les Corts,Friday,2018,3,2,1
Les Corts,les Corts,Friday,2018,10,19,2
Les Corts,les Corts,Monday,2018,1,1,1
Les Corts,les Corts,Sunday,2018,10,7,1
Les Corts,les Corts,Saturday,2018,12,15,5
